"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.858831125E0,-6.852749634E-1,-9.725276184E-1,-1.165177002E0,1.665247486E0
1.868872125E0,-1.061442719E0,4.430786133E-1,-7.108717346E-1,1.352153070E0
1.878913125E0,-1.263223114E0,1.523082733E0,-4.743635559E-1,2.034830320E0
1.888954125E0,-1.204844513E0,1.967209167E0,-4.102967834E-1,2.343054771E0
1.898995125E0,-1.597028961E0,2.443069611E0,-3.278182983E-1,2.937099839E0
1.909036125E0,-2.386786652E0,3.189267883E0,-8.247848511E-2,3.984342211E0
1.919077125E0,-3.160228271E0,3.733835449E0,4.161346436E-2,4.891860747E0
1.929119125E0,-3.926634521E0,4.185296631E0,-4.981640625E-1,5.760497720E0
1.939160125E0,-5.332810364E0,5.188061371E0,-1.484313354E0,7.586701081E0
1.949201125E0,-5.946683807E0,5.781427460E0,-3.625460815E-1,8.301770380E0
1.959242125E0,-4.947212219E0,5.148543549E0,4.552033997E-1,7.154692135E0
1.969283125E0,-3.801195374E0,3.959865417E0,2.652484131E-1,5.495450583E0
1.979324125E0,-3.007246399E0,2.940634918E0,-9.131011963E-3,4.206060865E0
1.989365125E0,-2.212099915E0,2.132615204E0,-1.857637024E-1,3.078301771E0
1.999406125E0,-1.435814209E0,1.297352142E0,-4.328997803E-1,1.982949128E0
2.009447125E0,-8.348139954E-1,6.234535217E-1,-7.128176880E-1,1.262425347E0
2.019488125E0,-6.057902527E-1,2.495310974E-1,-9.280700684E-1,1.136028895E0
2.029529125E0,-4.921765137E-1,1.402583313E-1,-1.012344818E0,1.134350982E0
2.039570125E0,-3.429368591E-1,8.771759033E-2,-1.048419800E0,1.106564115E0
2.049611125E0,-3.384461975E-1,-1.511856079E-1,-1.004411316E0,1.070628324E0
2.059652125E0,-2.993774414E-1,-5.833369446E-1,-7.801776123E-1,1.019110372E0
2.069693125E0,-3.050656128E-1,-8.973838806E-1,-4.906796265E-1,1.067300030E0
2.079734125E0,-3.977229309E-1,-9.596543884E-1,-2.679428101E-1,1.072806331E0
2.089775125E0,-5.433700562E-1,-9.852511597E-1,-2.013313293E-1,1.143024571E0
2.099816125E0,-7.234455872E-1,-1.172811127E0,-2.797682190E-1,1.406104446E0
2.109857125E0,-8.481362915E-1,-1.570833435E0,-3.926335144E-1,1.827844065E0
2.119898125E0,-1.058898010E0,-2.687211914E0,-4.864883423E-1,2.929000474E0
2.129939125E0,-1.518292694E0,-6.151158600E0,-1.541943512E0,6.520702004E0
2.139980125E0,-2.639161835E0,-1.329310684E1,-3.332969055E0,1.395638017E1
2.150021125E0,-2.708617401E0,-2.265987854E1,-4.711751862E0,2.330251723E1
2.160062125E0,-2.282752991E0,-3.115950348E1,-4.951852570E0,3.163299641E1
2.170103125E0,-1.970801697E0,-3.883269699E1,-4.881947937E0,3.918795517E1
2.180144125E0,-2.759511566E0,-4.511737793E1,-5.604495392E0,4.554781075E1
2.190185125E0,-3.941004639E0,-4.475348465E1,-7.246131592E0,4.550727776E1
2.200226125E0,-3.472179565E0,-3.416405548E1,-7.822133789E0,3.521966063E1
2.210267125E0,-2.219135284E0,-2.491778320E1,-5.303621063E0,2.557242416E1
2.220308125E0,-1.233884125E0,-1.968182144E1,-3.589685211E0,2.004451060E1
2.230349125E0,-1.281335449E-1,-1.668325699E1,-2.973566437E0,1.694666868E1
2.240390125E0,1.036444702E0,-1.641351791E1,-2.484832764E0,1.663286451E1
2.250431125E0,1.751058655E0,-1.980516495E1,-1.992207184E0,1.998198325E1
2.260472125E0,1.707948303E0,-2.447215988E1,-1.412313080E0,2.457230809E1
2.270513125E0,1.401685181E0,-2.740201721E1,-6.201603699E-1,2.744485138E1
2.280554125E0,1.037342834E0,-2.734797958E1,1.760339355E-1,2.736821250E1
2.290595125E0,4.028123474E-1,-2.435001389E1,5.034031677E-1,2.435854776E1
2.300637125E0,-4.150868225E-1,-2.077664474E1,4.135899353E-1,2.078490608E1
2.310678125E0,-9.243278503E-1,-1.825723389E1,-9.714797974E-2,1.828087550E1
2.320719125E0,-9.213340759E-1,-1.654958496E1,-9.683363342E-1,1.660347235E1
2.330760125E0,-7.867639160E-1,-1.485031860E1,-2.094893646E0,1.501797388E1
2.340801125E0,-6.480024719E-1,-1.290122177E1,-3.247796173E0,1.331951990E1
2.350842125E0,-4.846920776E-1,-1.091081085E1,-4.072730713E0,1.165623676E1
2.360883125E0,-3.734733582E-1,-9.043743439E0,-4.050277405E0,9.916326174E0
2.370924125E0,-4.414320374E-1,-7.652835846E0,-3.192561035E0,8.303806639E0
2.380965125E0,-7.779322815E-1,-6.540049896E0,-1.966311035E0,6.873413298E0
2.391006125E0,-1.171912994E0,-5.257516937E0,-1.076710968E0,5.493102122E0
2.401047125E0,-1.528321838E0,-3.822750549E0,-5.551954651E-1,4.154206472E0
2.411088125E0,-1.876497803E0,-2.321073303E0,-1.251397705E-1,2.987354222E0
2.421129125E0,-2.266736298E0,-9.584568787E-1,2.600093079E-1,2.474739960E0
2.431170125E0,-2.627785492E0,2.261796570E-1,6.107299805E-1,2.707287376E0
2.441211125E0,-2.978955231E0,1.145867157E0,9.291178894E-1,3.324221091E0
2.451252125E0,-3.397035828E0,2.078876953E0,1.253193970E0,4.175173880E0
2.461293125E0,-3.654051361E0,2.882406006E0,1.690135345E0,4.951455667E0
2.471334125E0,-3.979923706E0,3.658092957E0,2.309846649E0,5.878505620E0
2.481375125E0,-4.372706909E0,4.273912354E0,2.939138031E0,6.784204072E0
2.491416125E0,-4.227658539E0,4.561913452E0,2.751128998E0,6.800945657E0
2.501457125E0,-3.232378235E0,4.298461304E0,1.694326630E0,5.638774810E0
2.511498125E0,-2.188898163E0,3.633993073E0,8.183482361E-1,4.320517869E0
