"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.490672458E0,-4.363426208E-1,5.347779236E0,8.913364563E0,1.040371114E1
2.500713458E0,-4.213737488E-1,5.399122467E0,8.925339661E0,1.043981644E1
2.510755458E0,-4.153862000E-1,5.410798187E0,8.926237793E0,1.044638712E1
2.520796458E0,-3.098556519E-1,5.392386475E0,8.988208923E0,1.048626445E1
2.530838458E0,-2.040257263E-1,5.357359314E0,9.105115814E0,1.056626989E1
2.540880458E0,-2.174977112E-1,5.344336395E0,9.174870758E0,1.062014549E1
2.550921458E0,-3.583547974E-1,5.361999664E0,9.252110138E0,1.069957946E1
2.560963458E0,-7.445516968E-1,5.510041809E0,9.261091461E0,1.080197820E1
2.571005458E0,-1.204545135E0,5.776188354E0,9.226064301E0,1.095150873E1
2.581046458E0,-1.475481720E0,5.867648163E0,9.323661346E0,1.111472007E1
2.591088458E0,-1.435065765E0,5.661227417E0,9.378148041E0,1.104801205E1
2.601130458E0,-9.925859070E-1,5.151687012E0,9.789642334E0,1.110685387E1
2.611171458E0,-4.201762390E-1,4.445006561E0,1.039857605E1,1.131658143E1
2.621213458E0,8.322692871E-2,3.862118683E0,1.087458618E1,1.154034281E1
2.631254458E0,3.733236694E-1,3.410058746E0,1.121916962E1,1.173190684E1
2.641296458E0,2.303709412E-1,3.177442474E0,1.156899216E1,1.199961628E1
2.651338708E0,-5.149291992E-2,3.089874573E0,1.156345367E1,1.196927054E1
2.661379708E0,-2.528242493E-1,3.008743286E0,1.123294098E1,1.163165591E1
2.671421708E0,-3.342549133E-1,2.976260834E0,1.065499283E1,1.106791431E1
2.681463708E0,-4.903802490E-1,3.096011810E0,9.944869537E0,1.042718524E1
2.691504708E0,-7.924520874E-1,3.356769562E0,9.205706635E0,9.830611214E0
2.701546708E0,-1.057401123E0,3.563190308E0,8.583600311E0,9.353748800E0
2.711588708E0,-1.225651245E0,3.654799805E0,8.273295593E0,9.127277938E0
2.721629708E0,-1.397793274E0,3.675756226E0,8.120613098E0,9.022713946E0
2.731671708E0,-1.481020203E0,3.682641907E0,8.111033020E0,9.030178786E0
2.741712708E0,-1.423988800E0,3.616778870E0,8.255482635E0,9.124791890E0
2.751754708E0,-1.221759338E0,3.516337738E0,8.528365173E0,9.305393033E0
2.761796708E0,-9.723779297E-1,3.367996216E0,8.825646973E0,9.496365717E0
2.771837708E0,-5.635780334E-1,3.122656403E0,9.160800018E0,9.694785206E0
2.781879708E0,-1.053808594E-1,2.878364410E0,9.556876373E0,9.981481494E0
2.791921708E0,3.439846802E-1,2.710263977E0,9.918524323E0,1.028790460E1
2.801962708E0,6.957531738E-1,2.580483856E0,1.001492386E1,1.036540734E1
2.812004708E0,8.572673035E-1,2.484533386E0,1.001806732E1,1.035709835E1
2.822046708E0,8.366102600E-1,2.473157043E0,9.800868988E0,1.014265524E1
2.832087708E0,6.460565186E-1,2.540067902E0,9.385482788E0,9.744568802E0
