Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
3.060402917,-0.4161182714,-7.760795327,-7.043957679,10.48906279
3.070409917,-0.07869394787,-7.480512553,-5.896563229,9.525424857
3.080415917,0.4820104714,-7.121790551,-4.972355831,8.699227394
3.090421917,0.8297049907,-6.843652536,-4.33253186,8.14216327
3.100427917,0.8172510792,-6.689544489,-3.82098469,7.747117451
3.110434917,0.6860884573,-6.557822508,-3.740620558,7.580764841
3.120440917,0.5311346843,-6.504702893,-3.859230158,7.582013004
3.130446917,0.4912472449,-6.269617342,-4.047629786,7.478818914
3.140453917,0.6730162758,-5.754602188,-4.660456578,7.435607088
3.150459917,0.7035483894,-5.023425997,-5.529525316,7.503695044
3.160465917,0.3915910289,-4.414885215,-6.364530516,7.755759387
3.170471917,0.1091903935,-3.69494211,-6.971667967,7.891050245
3.180478917,-0.07842132144,-2.712284775,-7.208644508,7.702414832
3.190484917,-0.4264308594,-1.214095978,-6.841635246,6.961597889
3.200490917,-1.537278603,0.7361387229,-5.226884544,5.497767525
3.210497917,-2.844350865,3.250415726,-3.593941399,5.618892152
3.220503917,-3.149711469,6.084983906,-2.821114907,7.409885343
3.230509917,-3.110255335,8.926672241,-1.029577732,9.508900875
3.240515917,-2.079326604,10.77106357,3.085028985,11.39547337
3.250522917,-1.060335183,11.02094901,9.858740051,14.82499184
3.260528917,0.03934207689,10.68803427,18.24770994,21.14744766
3.270534917,1.911483741,9.984544065,27.01783175,28.8670768
3.280541917,2.939139493,9.079893265,32.63062785,33.99765987
3.290547917,2.01485345,8.96366582,32.27761039,33.55966436
3.300553917,-0.309789359,9.450609661,26.98676433,28.59537447
3.310560917,-2.347045758,10.046362,21.28157988,23.65044726
3.320566917,-4.231259254,10.38626883,16.68896153,20.107202
3.330572917,-5.327409875,10.06966783,13.24868788,17.47304315
3.340578917,-5.593641205,9.918201556,11.25284724,16.0089386
3.350585917,-4.403176165,9.530876144,10.23998319,14.66570203
3.360591917,-2.554699097,8.984642707,9.433801839,13.27580164
3.370597917,-1.088309359,8.45990071,8.174894555,11.81453504
3.380604917,-0.1040626777,7.591617837,6.162075351,9.778275055
3.390610917,0.3911201819,6.577076805,3.581672187,7.499285962
3.400616917,0.6078073228,5.243508178,0.9066575646,5.355915953
3.410623917,0.565240945,3.607861866,-1.680588596,4.020017736
3.420629917,0.3715913587,1.913856248,-4.151443006,4.586437061
3.430635917,0.689155468,0.1170004463,-5.938034021,5.979036076
3.440641917,1.116072304,-1.700775524,-7.16508509,7.448268196
3.450648917,1.544147035,-3.251091079,-8.242651505,8.994180736
3.460654917,1.627483307,-4.803079523,-9.639054896,10.89172411
3.470660917,0.9472878928,-6.344630102,-11.26680805,12.96505492
3.480667917,0.5901017711,-7.401996726,-12.30469117,14.37161092
3.490673917,0.2182994558,-8.077675239,-12.54315232,14.92069576
3.500679917,-0.09540582011,-8.388199813,-12.04162026,14.67554486
3.510685917,-0.07763916498,-8.181665631,-11.08129344,13.77464136
3.520692917,0.2471958657,-7.682087127,-10.21024542,12.77985446
3.530698917,0.8486074309,-7.452455274,-9.72154566,12.27874889
3.540704917,1.475903304,-7.378019634,-9.446784997,12.07705308
3.550711667,1.962760752,-7.257156517,-8.870063592,11.62741496
3.560717667,1.99897899,-7.137870394,-8.136012325,11.00635304
3.570723667,1.638804247,-7.217411238,-7.301890056,10.396841
3.580730667,1.012583969,-7.361613516,-6.25479465,9.712936527
3.590736667,0.3958334763,-7.446911529,-5.365932502,9.187295961
3.600742667,-0.1540191138,-7.511909763,-4.525499917,8.771126476
3.610748667,-0.4776023287,-7.493285211,-3.692223154,8.367194217
3.620755667,-0.5649432487,-7.458193147,-3.020675114,8.066491433
3.630761667,-0.4999805731,-7.401765177,-2.511475017,7.832216485
3.640767667,-0.4777941539,-7.18543457,-2.358505424,7.577684676
3.650774667,-0.6543765217,-6.907459692,-2.871496271,7.509107727
3.660780667,-0.9214146213,-6.497171679,-3.685069671,7.526086846
3.670786667,-1.010769651,-6.064785869,-4.289258956,7.49673431
3.680792667,-0.7461251825,-5.580407787,-4.952088212,7.498055183
3.690799667,-0.4549183479,-4.959641061,-5.547970358,7.455532526
3.700805667,-0.2764322363,-4.289170078,-5.807048789,7.224625276
3.710811667,-0.1410773069,-3.465128408,-5.726877615,6.695083638
3.720818667,-0.2852763692,-2.161322694,-5.602059442,6.011303385
3.730824667,-1.13098687,-0.5272258937,-5.11823743,5.268154595
3.740830667,-2.565849737,1.314490916,-3.247117896,4.34226276
3.750836667,-4.287046954,3.367199825,0.02466881812,5.451368158
3.760843667,-5.567956141,5.339936365,4.027108397,8.702566175
3.770849667,-5.328622003,7.444359804,7.796786694,12.02508163
3.780855667,-4.128411701,9.828278396,10.2881432,14.81501704
3.790862667,-3.187618091,12.556215,11.88192812,17.57838616
3.800868667,-1.880133309,14.57708991,14.45181332,20.61265048
3.810874667,-0.4600350636,13.7647877,18.19787529,22.82199986
3.820881667,-0.1901294529,11.27389722,21.8020078,24.54515129
3.830887667,-1.388749532,9.431444242,24.87294208,26.63726738
3.840893667,-3.130859461,8.576551493,26.72410038,28.24069861
3.850899667,-4.437847815,7.54974768,25.74404155,27.19280895
3.860906667,-4.531018519,6.461653352,23.06633487,24.37906678
3.870912667,-4.05072881,6.066638267,20.17166609,21.45014257
3.880918667,-3.367884242,6.323533933,16.95950752,18.41072028
3.890925667,-1.972268178,6.730613578,13.96327026,15.62574534
3.900931667,0.09809172034,7.08644998,11.25828983,13.30325092
3.910937667,2.609847404,6.842857899,8.123375908,10.93733257
3.920944667,4.583141184,6.101878266,4.368656543,8.793364628
3.930950667,5.09408609,5.190609587,-0.3997098148,7.283674136
3.940956667,3.623175724,3.803400359,-5.625198628,7.696500258
3.950962667,2.200221734,2.071593661,-9.448053258,9.919585997
3.960969667,1.38434117,-0.290213685,-11.42369353,11.51092517
3.970975667,1.668007581,-3.10030659,-11.47248269,12.00050038
3.980981667,0.9402818321,-5.806876296,-9.133774772,10.86415132
3.990988667,1.022852996,-7.98999741,-6.222991059,10.1789933
4.000994667,1.557155628,-9.52037513,-4.663061512,10.71477573
4.011000667,1.150430763,-10.28341046,-3.766767552,11.01183724
4.021006667,0.7993097019,-10.22683865,-4.124466292,11.05614521
4.031013667,0.2406442067,-9.764727933,-5.60630569,11.26225931
4.041019667,0.3311053837,-8.820253501,-7.267090352,11.43315813
4.051025667,0.7922754284,-7.874789135,-8.903233677,11.91249656
4.061032667,1.097564186,-7.134049239,-10.44031464,12.69249682
4.071038667,0.9304830681,-6.494980143,-11.13399673,12.9234844
4.081044667,0.7348368403,-6.093315019,-10.91718081,12.52410915
4.091051667,0.7745647238,-6.1489963,-9.935722153,11.71019559
4.101057667,0.5740235726,-6.483086906,-8.200524656,10.46940894
4.111063667,0.001226563118,-6.86769921,-6.334578153,9.343028113
4.121069667,-0.6205068174,-7.212909467,-4.793773679,8.68281969
4.131076667,-1.051965113,-7.441882923,-3.573071517,8.321964438
4.141082667,-1.009154797,-7.598078426,-2.603850499,8.095012451
4.151088667,-0.9371574455,-7.653486641,-1.964818826,7.957049382
4.161095667,-0.8800951257,-7.659918578,-1.750318982,7.906486995
